ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,Recency,NumWebVisitsMonth,Response,Complain
5524,1957,Graduation,Single,58138.0,0,0,635,546,172,88,88,8,4,10,58,7,1,0
2174,1954,Graduation,Single,46344.0,1,1,11,6,2,1,6,1,2,1,38,5,0,0
4141,1965,Graduation,Together,71613.0,0,0,426,127,111,21,42,8,10,2,26,4,0,0
6182,1984,Graduation,Together,26646.0,1,0,11,20,10,3,5,2,4,0,26,6,0,0
5324,1981,PhD,Married,58293.0,1,0,173,118,46,27,15,5,6,3,94,5,0,0
7446,1967,Master,Together,62513.0,0,1,520,98,0,42,14,6,10,4,16,6,0,0
965,1971,Graduation,Divorced,55635.0,0,1,235,164,50,49,27,7,7,3,34,6,0,0
6177,1985,PhD,Married,33454.0,1,0,76,56,3,1,23,4,4,0,32,8,0,0
4855,1974,PhD,Together,30351.0,1,0,14,24,3,3,2,3,2,0,19,9,1,0
5899,1950,PhD,Together,5648.0,1,1,28,6,1,1,13,1,0,0,68,20,0,0
1994,1983,Graduation,Married,,1,0,5,6,0,2,1,1,2,0,11,7,0,0
387,1976,Basic,Married,7500.0,0,0,6,11,11,1,16,2,3,0,59,8,0,0
2125,1959,Graduation,Divorced,63033.0,0,0,194,480,225,112,30,3,8,4,82,2,0,0
8180,1952,Master,Divorced,59354.0,1,1,233,53,3,5,14,6,5,1,53,6,0,0
2569,1987,Graduation,Married,17323.0,0,0,3,17,6,1,5,1,3,0,38,8,0,0
2114,1946,PhD,Single,82800.0,0,0,1006,115,59,68,45,7,12,6,23,3,1,0
9736,1980,Graduation,Married,41850.0,1,1,53,19,2,13,4,3,3,0,51,8,0,0
4939,1946,Graduation,Together,37760.0,0,0,84,38,150,12,28,4,6,1,20,7,0,0
6565,1949,Master,Married,76995.0,0,1,1012,498,0,16,176,11,9,4,91,5,0,0
2278,1985,2n Cycle,Single,33812.0,1,0,4,19,30,24,39,2,3,1,86,6,0,0
9360,1982,Graduation,Married,37040.0,0,0,86,73,69,38,48,4,5,2,41,8,0,0
5376,1979,Graduation,Married,2447.0,1,0,1,1725,1,1,1,0,0,28,42,1,0,0
1993,1949,PhD,Married,58607.0,0,1,867,86,0,0,19,2,9,3,63,8,0,0
4047,1954,PhD,Married,65324.0,0,1,384,102,21,32,5,6,9,2,0,4,0,0
1409,1951,Graduation,Together,40689.0,0,1,270,27,39,6,99,7,5,1,69,8,0,0
7892,1969,Graduation,Single,18589.0,0,0,6,25,15,12,13,2,3,1,89,7,0,0
2404,1976,Graduation,Married,53359.0,1,1,173,30,3,6,41,5,4,1,4,7,0,0
5255,1986,Graduation,Single,,1,0,5,3,3,263,362,27,0,0,19,1,0,0
9422,1989,Graduation,Married,38360.0,1,0,36,42,20,21,10,2,4,1,26,3,0,0
1966,1965,PhD,Married,84618.0,0,0,684,801,21,66,0,6,10,9,96,2,0,0
6864,1989,Master,Divorced,10979.0,0,0,8,10,2,2,4,3,3,0,34,5,0,0
3033,1963,Master,Together,38620.0,0,0,112,44,34,22,89,2,3,5,56,3,0,0
5710,1970,Graduation,Together,40548.0,0,1,110,5,2,0,3,2,4,1,31,5,0,0
